User_ID,Age,Gender,Platform,Daily_Usage_Time_min,Posts_Per_Day,Likes_Received_Daily,Comments_Received_Daily,Messages_Sent_Daily,Scroll_Rate_ppm,Addiction_Level,Emotional_State_Post_Usage,Productivity_Loss_Score,Mental_Health_Index,FOMO_Score
1524,50.0,  M  ,  Pinterest  ,277.0,15.0,95,38,143,42,HIGH,Anxious,8,35.0,8.0
1603,33.0,Male,FACEBOOK,247.0,12.0,352,7,87,12,high,Envious,8,54.0,8.0
1527,51.0,female,TikTok,210.0,9.0,7,24,110,17,HIGH,Stressed,8,40.0,8.0
1032,55.0,female,FACEBOOK,47.0,0.0,187,35,54,70,LOW,Inspired,3,70.0,2.0
1617,56.0,FEMALE,instagram,256.0,11.0,426,42,22,90,HIGH,Anxious,6,39.0,6.0
1586,52.0,M,Instagram,191.0,15.0,15,3,48,14,high,ANXIOUS,7,54.0,6.0
1445,46.0,male,TIKTOK,141.0,5.0,227,53,111,43,MODERATE,Neutral,3,62.0,4.0
1733,39.0,male,INSTAGRAM,232.0,8.0,216,62,0,62,high,Anxious,8,39.0,6.0
1077,,male,Pinterest,,,354,71,70,67,low,Inspired,3,,
1412,,M,instagram,,,216,71,62,111,MODERATE,NEUTRAL,5,,
1569,48.0,male,INSTAGRAM,212.0,13.0,120,12,144,64,high,Stressed,7,54.0,7.0
1071,,Male,FACEBOOK,,,477,47,97,16,Low,Motivated,3,,
1676,17.0,male,Snapchat,214.0,16.0,428,73,54,83,High,Envious,7,36.0,8.0
1102,,NON-BINARY,Instagram,,,138,40,77,16,Low,Happy,3,,
1895,29.0,male,Facebook,684.0,27.0,291,61,39,16,SEVERE,Depressed,9,34.0,9.0
1926,41.0,M,Twitter,698.0,11.0,234,71,28,16,SEVERE,Stressed,9,44.0,8.0
1630,59.0,male,FACEBOOK,199.0,8.0,223,31,114,16,High,Anxious,7,53.0,7.0
1300,,,,,,458,70,112,92,Moderate,,4,,
1925,,FEMALE,Instagram,,,91,87,29,50,severe,Anxious,8,,
1425,58.0,NON-BINARY,Instagram,96.0,5.0,492,26,22,30,MODERATE,Neutral,3,64.0,3.0
1097,,male,Pinterest,,,127,27,72,42,LOW,Motivated,1,,
1901,28.0,Female,Twitter,431.0,10.0,185,74,26,91,severe,DEPRESSED,8,41.0,9.0
1261,56.0,  F  ,  Facebook  ,110.0,1.0,271,6,91,38,MODERATE,Bored,3,68.0,3.0
1351,25.0,F,Snapchat,62.0,1.0,498,77,111,69,MODERATE,Neutral,5,61.0,3.0
1529,35.0,FEMALE,Facebook,173.0,12.0,121,68,19,79,high,Anxious,8,54.0,7.0
1695,41.0,M,INSTAGRAM,150.0,16.0,228,35,82,45,high,Stressed,8,47.0,6.0
1362,47.0,male,Twitter,101.0,2.0,323,54,145,88,moderate,NEUTRAL,5,78.0,5.0
1612,18.0,MALE,INSTAGRAM,273.0,13.0,273,8,85,49,HIGH,Envious,7,58.0,7.0
1885,38.0,NON-BINARY,Facebook,449.0,12.0,411,95,140,41,severe,Stressed,9,24.0,9.0
1721,19.0,Non-Binary,INSTAGRAM,226.0,17.0,233,12,36,44,HIGH,Stressed,6,57.0,6.0
1487,47.0,Male,Instagram,131.0,2.0,121,25,22,98,moderate,Bored,5,64.0,5.0
1694,16.0,male,YOUTUBE,151.0,12.0,65,49,25,45,high,Stressed,8,47.0,6.0
1654,58.0,Male,Instagram,274.0,6.0,487,99,58,60,high,Anxious,8,40.0,6.0
1810,44.0,Male,Facebook,719.0,19.0,389,54,89,67,Severe,DEPRESSED,8,24.0,9.0
1409,32.0,,,78.0,5.0,412,27,47,9,moderate,,5,69.0,5.0
1741,,Non-Binary,Instagram,,,135,80,83,41,high,Anxious,7,,
1214,20.0,M,YOUTUBE,58.0,1.0,454,69,6,19,LOW,Calm,3,89.0,3.0
1590,,F,TIKTOK,,,393,84,21,48,HIGH,Envious,6,,
1366,38.0,Non-Binary,Instagram,149.0,5.0,217,36,125,73,MODERATE,NEUTRAL,3,62.0,3.0
1200,35.0,Female,FACEBOOK,1500.0,0.0,191,62,69,96,Low,Calm,1,91.0,2.0
1637,,Non-Binary,TIKTOK,,,284,21,92,5,HIGH,Stressed,6,,
1629,27.0,MALE,FACEBOOK,177.0,7.0,80,39,61,94,high,Anxious,7,56.0,7.0
1829,48.0,female,Instagram,508.0,17.0,390,83,40,82,Severe,Depressed,9,31.0,8.0
1353,47.0,Male,instagram,106.0,6.0,242,79,84,111,moderate,NEUTRAL,5,74.0,4.0
1330,41.0,FEMALE,LinkedIn,121.0,4.0,419,57,25,81,Moderate,NEUTRAL,4,76.0,4.0
1982,19.0,FEMALE,Facebook,433.0,21.0,34,55,44,104,SEVERE,Anxious,9,35.0,8.0
1838,,NON-BINARY,TIKTOK,,,224,91,143,53,Severe,DEPRESSED,9,,
1245,46.0,male,YOUTUBE,20.0,0.0,167,60,91,115,LOW,Happy,3,83.0,3.0
1287,19.0,Female,TikTok,115.0,1.0,283,93,52,99,Moderate,Bored,4,66.0,3.0
1290,,,,,,77,75,36,87,MODERATE,,5,,
1599,57.0,M,instagram,235.0,6.0,261,75,39,23,high,Envious,7,53.0,8.0
1762,,Male,YOUTUBE,,,269,28,126,56,Severe,Stressed,9,,
1060,,male,instagram,,,89,71,71,51,low,Calm,2,,
1623,51.0,FEMALE,FACEBOOK,227.0,11.0,453,94,83,38,High,ANXIOUS,8,53.0,6.0
1319,17.0,F,instagram,81.0,6.0,279,67,89,104,moderate,Calm,3,78.0,3.0
1011,,FEMALE,YouTube,,,429,59,69,50,LOW,Motivated,1,,
1238,26.0,male,TikTok,48.0,0.0,293,70,93,52,Low,Calm,1,77.0,2.0
1332,47.0,Non-Binary,YOUTUBE,80.0,4.0,315,51,60,27,moderate,Neutral,5,64.0,4.0
1706,54.0,,,237.0,15.0,356,75,142,57,High,,7,36.0,7.0
1087,53.0,NON-BINARY,Twitter,8.0,2.0,281,68,149,81,Low,Motivated,3,99.0,2.0
1804,52.0,FEMALE,YOUTUBE,306.0,28.0,86,25,44,30,severe,DEPRESSED,8,38.0,9.0
1175,,Non-Binary,Instagram,,,140,90,139,24,low,Calm,1,,
1313,,F,Snapchat,,,240,11,123,30,Moderate,Neutral,4,,
1463,52.0,M,Facebook,146.0,3.0,216,0,141,52,MODERATE,Bored,5,72.0,3.0
1219,32.0,female,LinkedIn,7.0,0.0,122,22,33,104,Low,Inspired,2,79.0,2.0
1031,,NON-BINARY,Instagram,,,243,59,114,108,Low,Inspired,1,,
1548,53.0,FEMALE,YOUTUBE,160.0,7.0,33,82,75,77,HIGH,Envious,7,35.0,7.0
1665,52.0,Non-Binary,LinkedIn,264.0,12.0,378,30,110,35,HIGH,ANXIOUS,7,55.0,6.0
1055,,Male,INSTAGRAM,,,153,94,53,95,Low,Inspired,1,,
1024,,NON-BINARY,Snapchat,,,328,14,19,18,low,Happy,1,,
1257,31.0,FEMALE,Pinterest,119.0,4.0,150,83,59,83,Moderate,Neutral,3,60.0,3.0
1451,52.0,Non-Binary,LinkedIn,95.0,7.0,320,9,79,42,Moderate,NEUTRAL,4,72.0,3.0
1004,59.0,Non-Binary,INSTAGRAM,41.0,0.0,160,21,99,24,Low,Calm,2,87.0,2.0
1834,55.0,F,Instagram,309.0,21.0,52,48,127,27,severe,DEPRESSED,9,24.0,9.0
1553,16.0,Male,LinkedIn,231.0,10.0,492,50,85,91,High,Stressed,6,48.0,7.0
1639,33.0,male,YOUTUBE,278.0,5.0,62,75,120,99,HIGH,ANXIOUS,8,57.0,8.0
1478,48.0,female,INSTAGRAM,144.0,5.0,201,82,83,29,MODERATE,NEUTRAL,4,64.0,3.0
1957,39.0,,,679.0,29.0,154,77,14,117,severe,,9,35.0,8.0
1663,,NON-BINARY,YOUTUBE,,,421,44,87,18,high,Envious,6,,
1519,16.0,female,Facebook,257.0,10.0,422,16,105,28,High,Envious,8,51.0,7.0
1961,56.0,,,577.0,27.0,397,51,35,103,severe,,8,27.0,9.0
1954,37.0,M,Instagram,414.0,24.0,254,27,71,62,SEVERE,Depressed,9,41.0,8.0
1980,38.0,,,692.0,10.0,257,18,122,44,Severe,,8,39.0,9.0
1576,59.0,Non-Binary,Instagram,264.0,5.0,354,43,31,101,high,Stressed,6,57.0,7.0
1540,23.0,  M  ,  TIKTOK  ,243.0,14.0,337,78,122,116,High,Stressed,7,38.0,7.0
1216,20.0,NON-BINARY,Facebook,31.0,1.0,179,6,36,58,low,Happy,3,83.0,3.0
1738,,NON-BINARY,Twitter,,,214,36,6,110,HIGH,Envious,6,,
1999,14.0,Female,FACEBOOK,394.0,13.0,246,16,76,91,Severe,Stressed,9,25.0,9.0
1714,57.0,,,199.0,8.0,10,96,83,79,high,,8,50.0,8.0
1668,31.0,male,Snapchat,284.0,6.0,499,66,0,117,HIGH,Anxious,7,35.0,7.0
1040,,MALE,YouTube,,,85,8,81,28,low,Inspired,3,,
1232,24.0,NON-BINARY,Instagram,10.0,0.0,262,36,41,12,low,Calm,1,88.0,1.0
1495,51.0,NON-BINARY,Pinterest,146.0,4.0,150,77,125,21,Moderate,Calm,5,59.0,5.0
1705,19.0,male,Snapchat,207.0,15.0,115,36,115,100,High,Envious,7,45.0,6.0
1968,15.0,F,instagram,307.0,17.0,14,7,144,70,SEVERE,Anxious,9,21.0,8.0
1067,26.0,F,INSTAGRAM,28.0,2.0,89,26,25,54,low,Inspired,3,95.0,1.0
1295,19.0,Female,YouTube,112.0,4.0,75,63,3,89,moderate,Neutral,5,74.0,5.0
1068,56.0,Male,YOUTUBE,29.0,1.0,233,81,24,84,low,Inspired,3,87.0,1.0
1480,23.0,male,LinkedIn,137.0,2.0,175,56,28,20,MODERATE,Neutral,4,76.0,3.0
1329,,NON-BINARY,Twitter,,,315,11,149,115,MODERATE,NEUTRAL,5,,
1644,30.0,M,YOUTUBE,259.0,9.0,445,71,25,59,High,Envious,8,51.0,7.0
1108,,male,Twitter,,,93,92,17,20,LOW,Motivated,1,,
1984,22.0,female,TIKTOK,696.0,28.0,364,9,4,77,Severe,DEPRESSED,9,30.0,9.0
1347,,FEMALE,Facebook,,,181,51,70,92,moderate,Neutral,4,,
1299,59.0,Male,INSTAGRAM,99.0,3.0,464,11,123,45,Moderate,Neutral,5,56.0,3.0
1644,30.0,M,YOUTUBE,259.0,9.0,445,71,25,59,High,Envious,8,51.0,7.0
1308,,Male,LinkedIn,,,409,40,42,60,moderate,NEUTRAL,5,,
1855,15.0,FEMALE,Twitter,586.0,24.0,210,78,7,42,Severe,Depressed,9,44.0,8.0
1507,39.0,Female,FACEBOOK,218.0,11.0,420,34,22,35,high,Envious,6,49.0,8.0
1297,,M,INSTAGRAM,,,310,97,139,64,Moderate,Neutral,4,,
1881,35.0,MALE,Snapchat,688.0,16.0,323,4,72,105,SEVERE,DEPRESSED,9,21.0,8.0
1667,52.0,MALE,Pinterest,155.0,12.0,72,58,107,103,high,ANXIOUS,8,56.0,6.0
1101,56.0,NON-BINARY,INSTAGRAM,33.0,0.0,477,39,19,42,Low,Calm,1,93.0,3.0
1089,42.0,Female,Facebook,58.0,2.0,309,32,18,60,low,Motivated,3,99.0,1.0
1064,51.0,F,YOUTUBE,30.0,1.0,435,1,66,32,low,Calm,1,74.0,3.0
1844,22.0,Female,FACEBOOK,409.0,28.0,148,39,28,6,Severe,DEPRESSED,8,42.0,8.0
1889,38.0,female,Instagram,412.0,21.0,498,85,4,94,SEVERE,Stressed,8,23.0,8.0
1140,,Male,YOUTUBE,,,443,39,99,47,Low,Inspired,2,,
1758,29.0,Male,YOUTUBE,714.0,17.0,184,94,139,77,SEVERE,Stressed,9,25.0,8.0
